Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,9,675.000000,0.0089,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,10,681.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,10,676.000000,0.0037,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,10,697.000000,0.0086,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,10,654.000000,0.0042,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,10,682.000000,0.0154,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-2,1,662.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-10,1,674.000000,0.0038,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-50,1,683.000000,0.0130,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-100,1,684.000000,0.0101,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-300,1,660.000000,0.0068,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-2,2,683.000000,0.0022,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-10,2,708.000000,0.0079,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-50,2,689.000000,0.0055,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-100,2,710.000000,0.0204,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-300,2,673.000000,0.0114,
scenario1,correlated_sc1,300,kpfs_7.txt,ILS-2,3,681.000000,0.0018,
