Instancia,Incumbent,BestBd,Gap,TempoExecucao(s),NosExplorados
instances/scenario2/fully_correlated_sc2/700/kpfs_4.txt,355,719,1.02535,1800.03,3109
instances/scenario2/fully_correlated_sc2/700/kpfs_5.txt,386,726,0.880829,1800.01,2996
instances/scenario2/fully_correlated_sc2/700/kpfs_6.txt,355,704,0.983099,1800.03,2746
instances/scenario2/fully_correlated_sc2/700/kpfs_7.txt,368,725,0.970109,1800.02,3107
instances/scenario2/fully_correlated_sc2/700/kpfs_8.txt,345,701,1.03188,1800.02,3115
instances/scenario2/fully_correlated_sc2/700/kpfs_9.txt,320,687,1.14688,1800.01,3658
instances/scenario2/fully_correlated_sc2/800/kpfs_1.txt,340,710,1.08824,1800.02,2043
instances/scenario2/fully_correlated_sc2/800/kpfs_10.txt,338,716,1.11834,1800.02,2118
instances/scenario2/fully_correlated_sc2/800/kpfs_2.txt,346,720,1.08092,1800.02,2001
instances/scenario2/fully_correlated_sc2/800/kpfs_3.txt,334,729,1.18263,1800.02,2582
instances/scenario2/fully_correlated_sc2/800/kpfs_4.txt,344,717,1.0843,1800.02,3081
instances/scenario2/fully_correlated_sc2/800/kpfs_5.txt,315,699,1.21905,1800.01,4220
instances/scenario2/fully_correlated_sc2/800/kpfs_6.txt,321,699,1.17757,1800.01,5993
instances/scenario2/fully_correlated_sc2/800/kpfs_7.txt,336,703,1.09226,1800.01,6442
instances/scenario2/fully_correlated_sc2/800/kpfs_8.txt,341,723,1.12023,1800.01,7129
instances/scenario2/fully_correlated_sc2/800/kpfs_9.txt,363,709,0.953168,1800.01,6236
instances/scenario2/not_correlated_sc2/1000/kpfs_1.txt,133,326,1.45113,1800.01,10546
instances/scenario2/not_correlated_sc2/1000/kpfs_10.txt,135,383,1.83704,1800.04,1352
instances/scenario2/not_correlated_sc2/1000/kpfs_2.txt,128,371,1.89844,1800.03,1485
instances/scenario2/not_correlated_sc2/1000/kpfs_3.txt,121,368,2.04132,1800.05,1413
instances/scenario2/not_correlated_sc2/1000/kpfs_4.txt,143,380,1.65734,1800.03,1467
instances/scenario2/not_correlated_sc2/1000/kpfs_5.txt,136,354,1.60294,1800.04,1503
instances/scenario2/not_correlated_sc2/1000/kpfs_6.txt,120,364,2.03333,1800.03,1680
instances/scenario2/not_correlated_sc2/1000/kpfs_7.txt,126,358,1.84127,1800.02,1727
instances/scenario2/not_correlated_sc2/1000/kpfs_8.txt,119,356,1.9916,1800.05,1948
instances/scenario2/not_correlated_sc2/1000/kpfs_9.txt,135,359,1.65926,1800.05,1496
instances/scenario2/not_correlated_sc2/300/kpfs_1.txt,293,293,0,1046.39,71732
instances/scenario2/not_correlated_sc2/300/kpfs_10.txt,306,306,0,455.008,21806
instances/scenario2/not_correlated_sc2/300/kpfs_2.txt,307,307,0,693.415,51661
instances/scenario2/not_correlated_sc2/300/kpfs_3.txt,306,306,0,651.514,35870
instances/scenario2/not_correlated_sc2/300/kpfs_4.txt,314,314,0,517.315,24625
instances/scenario2/not_correlated_sc2/300/kpfs_5.txt,308,308,0,603.182,34529
instances/scenario2/not_correlated_sc2/300/kpfs_6.txt,308,308,0,935.897,54798
instances/scenario2/not_correlated_sc2/300/kpfs_7.txt,283,283,0,448.031,20002
instances/scenario2/not_correlated_sc2/300/kpfs_8.txt,291,291,0,1335.45,107103
instances/scenario2/not_correlated_sc2/300/kpfs_9.txt,281,281,0,1295.48,94577
instances/scenario2/not_correlated_sc2/500/kpfs_1.txt,211,332,0.57346,1800.05,31895
instances/scenario2/not_correlated_sc2/500/kpfs_10.txt,236,338,0.432203,1800.03,37405
instances/scenario2/not_correlated_sc2/500/kpfs_2.txt,223,356,0.596413,1800.02,26554
instances/scenario2/not_correlated_sc2/500/kpfs_3.txt,229,365,0.593886,1800.11,17899
instances/scenario2/not_correlated_sc2/500/kpfs_4.txt,199,362,0.819095,1800.03,13678
instances/scenario2/not_correlated_sc2/500/kpfs_5.txt,245,393,0.604082,1800.04,12360
instances/scenario2/not_correlated_sc2/500/kpfs_6.txt,204,365,0.789216,1800.03,20221
instances/scenario2/not_correlated_sc2/500/kpfs_7.txt,237,332,0.400844,1800.04,40881
instances/scenario2/not_correlated_sc2/500/kpfs_8.txt,218,333,0.527523,1800.04,31263
instances/scenario2/not_correlated_sc2/500/kpfs_9.txt,212,350,0.650943,1800.03,28371
instances/scenario2/not_correlated_sc2/700/kpfs_1.txt,185,385,1.08108,1800.08,10225
instances/scenario2/not_correlated_sc2/700/kpfs_10.txt,186,362,0.946237,1800.01,10607
instances/scenario2/not_correlated_sc2/700/kpfs_2.txt,179,358,1,1800.01,10337
instances/scenario2/not_correlated_sc2/700/kpfs_3.txt,170,359,1.11176,1800.04,10209
instances/scenario2/not_correlated_sc2/700/kpfs_4.txt,182,361,0.983516,1800.02,10273
instances/scenario2/not_correlated_sc2/700/kpfs_5.txt,189,374,0.978836,1800.05,10202
instances/scenario2/not_correlated_sc2/700/kpfs_6.txt,174,341,0.95977,1800.03,10349
instances/scenario2/not_correlated_sc2/700/kpfs_7.txt,167,360,1.15569,1800.03,10257
instances/scenario2/not_correlated_sc2/700/kpfs_8.txt,170,361,1.12353,1800.2,10212
instances/scenario2/not_correlated_sc2/700/kpfs_9.txt,185,358,0.935135,1800.17,10245
instances/scenario2/not_correlated_sc2/800/kpfs_1.txt,185,346,0.87027,1800.06,10202
instances/scenario2/not_correlated_sc2/800/kpfs_10.txt,165,363,1.2,1800.21,10202
instances/scenario2/not_correlated_sc2/800/kpfs_2.txt,164,359,1.18902,1800.1,10202
instances/scenario2/not_correlated_sc2/800/kpfs_3.txt,146,350,1.39726,1800.21,10202
